,Unnamed: 0,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month,xgb_predict_avg,rf_predict_avg,spacy_predict_avg
79,79,9623594,Houseboat in Rotterdam · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,"You're right in the city centre. So all Rotterdam's highlights are within a 15 mins walk! Markthall, Erasmusbridge, Witte de Wittstraat, Tent, Meent, Coolsingel, Kunsthal, Lijnbaan, Booijman van Beuningen Museum, and the list goes on and on...<br /><br />There is a restaurant right next door, a big super market, and other small shops in the neighbourhood.",46700761,Premala,within an hour,100%,100%,t,3.0,4,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.91562,4.48552,Private room in houseboat,Private room,2,,1 shared bath,,2.0,[],70.0,1,30,1125,629,98,3,2017-01-29,2023-12-13,4.76,4.84,4.62,4.86,4.89,4.94,4.68,f,3,1,0,7.49,4.96969696969697,4.941724941724941,4.300699300699301
80,80,9656246,Hostel in Rotterdam · ★4.80 · 1 bedroom · 8 beds · 1 shared bath,The hostel is right in the center and within walking distance you will find all kinds of local shops where you can find everything.<br /><br />Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!,7718807,Hostel Ani & Haakien,within a few hours,100%,49%,f,5.0,5,"Rotterdam, Zuid-Holland, Netherlands",Cs Kwartier,51.92265,4.46518,Shared room in hostel,Shared room,8,,1 shared bath,,8.0,[],35.0,1,7,7,132,12,0,2015-12-30,2023-11-20,4.8,4.85,4.76,4.92,4.87,4.84,4.83,f,5,0,5,1.36,4.926315789473684,4.91578947368421,4.063157894736842
81,81,9679472,Townhouse in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1 private bath,"We live in the middle of the Middelland-district next to the center of the city. It is a real Rotterdam neighbourhood, urban and not polished up for tourism. The area is pleasantly vibrant with many options for a drink, quick meal or dinner just around the corner, on the Nieuwe Binnenweg street. Supermarkets and other shops are also located here. Our street is quite and calm, giving you a good rest at night!",50007663,Ralf & Rahmat,within a few hours,100%,91%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Middelland,51.91263,4.46176,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],75.0,2,45,45,630,84,6,2015-12-29,2023-12-22,4.92,4.96,4.97,4.94,4.93,4.87,4.89,f,1,0,0,6.48,4.988304093567251,4.950292397660819,4.581871345029239
82,82,9742216,Hostel in Rotterdam · ★4.64 · 1 bedroom · 8 beds · 1.5 shared baths,Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!,7718807,Hostel Ani & Haakien,within a few hours,100%,49%,f,5.0,5,"Rotterdam, Zuid-Holland, Netherlands",Oude Westen,51.92059,4.46453,Shared room in hostel,Shared room,8,,1.5 shared baths,,8.0,[],36.0,1,7,7,73,4,0,2016-01-03,2023-08-08,4.64,4.75,4.56,4.86,4.86,4.74,4.71,f,5,0,5,0.75,4.943396226415095,4.981132075471698,4.0754716981132075
83,83,9901756,Rental unit in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,"The Witte de Withstraat is very well known in Rotterdam. Art, culture, restaurants, bars, clubs, you find all of it here. Walk into the Museumpark, enjoy some nature and visit de Kunsthal, Boijmans van Beuningen or het Instituut. Stroll through the Leuvehaven en view the city from the top of the Euromast. Go out for diner or get some take away to enjoy on the sunny balcony. Never a dull moment around here.",17803041,Liek,,,100%,f,1.0,1,"Rotterdam, ZH, Netherlands",Cool,51.91457,4.47725,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],,3,32,32,50,2,0,2018-06-25,2023-05-01,4.92,4.94,4.8,4.94,5.0,5.0,4.72,f,1,1,0,0.75,5.0,4.9375,4.4375
84,84,10355221,Rental unit in Rotterdam · ★4.97 · 1 bedroom · 1 bed · 1 bath,"Rotterdam’s Central District is the gateway to the city and home to many international companies and multinationals. The area buzzes with a constant stream of people coming and going, which can make you think of New York. A hive of activity. Rotterdam Central railway station is the Central District’s new landmark.<br /><br />Central railway station, Concert hall De Doelen, Theatre Stadsschouwburg and Cinema Pathé are literally around the corner on a 3 minutes walking distance. <br /><br />West-Kruiskade is a long shopping street with shops representing every corner of the world, from Chinese to Surinamese shops selling everything under the sun and from Dutch butcher’s to Turkish baker’s shops. Its many multicultural restaurants and snack bars make it the ideal place to find an exotic bite to eat. The West-Kruiskade is often compared similar to the famous Zeedijk in Amsterdam.<br /><br />The Museumkwartier is a dynamic area where lots of museums, art institutions and galleries are based",53295634,Oskar,within an hour,100%,98%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Oude Westen,51.92083,4.46945,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],105.0,1,31,31,289,60,8,2016-01-25,2023-12-18,4.97,4.98,4.97,4.99,4.99,4.94,4.91,f,1,1,0,3.0,4.9646464646464645,4.9393939393939394,4.606060606060606
85,85,10375079,Rental unit in Rotterdam · ★4.53 · 2 bedrooms · 4 beds · 1 bath,,20750635,Rudolf,within an hour,100%,46%,t,1.0,7,,Middelland,51.91868,4.45844,Entire rental unit,Entire home/apt,4,,1 bath,,4.0,[],107.0,35,730,730,17,3,0,2016-02-11,2023-11-10,4.53,4.47,4.06,4.76,4.47,4.65,4.35,f,1,1,0,0.18,4.923076923076923,5.0,4.461538461538462
86,86,10383405,Rental unit in Rotterdam · ★4.76 · 2 bedrooms · 2 beds · 1 bath,,9118753,Patricia,,,100%,f,1.0,3,,Hillegersberg Zuid,51.94668,4.48759,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],,2,1125,1125,21,9,0,2017-09-03,2023-08-04,4.76,4.67,4.67,4.95,4.95,4.67,4.67,f,1,1,0,0.27,4.555555555555555,4.555555555555555,4.444444444444445
87,87,10431393,Rental unit in Rotterdam · ★4.98 · 4 bedrooms · 4 beds · 3.5 baths,"The house is centrally located in a beautiful, quiet street in the city centre of Rotterdam. It's a ideal location to explore the local neighborhood and to discover downtown Rotterdam and the rest of the city. The Nieuwe Binnenweg, the longest and most vibrant alternative shopping street of Rotterdam, runs parallel (one block north) to our street. The street is a perfect example of Rotterdam’s diversity. It features a surprising mix of original and authentic stores, local bakeries and coffee places, as well as many bar/restaurants with food from all over the world. Just around our corner are two well-stacked supermarkets (one of which organic). Also around the corner you’ll find one of the best and most relaxed coffee bars in town (Urban Espresso Bar West) and grand cafe (Westerpaviljoen), various great restaurants (Italians, Gourmet Burger, French, Surinam) and a jazz club just around the corner.<br /><br />Within five minutes walking distance you’ll find the excellent Rotterdam museu",302893992,Michiel,within an hour,100%,79%,t,81.0,96,"Rotterdam, So, Netherlands",Middelland,51.91208,4.46143,Entire rental unit,Entire home/apt,4,,3.5 baths,,4.0,[],199.0,2,1125,1125,43,18,0,2016-08-15,2023-10-22,4.98,4.95,4.95,4.93,4.95,4.88,4.81,f,14,14,0,0.48,5.0,5.0,4.5
88,88,11005301,Condo in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,Rotterdam West is one of the liveliest and nicest neighborhoods in Rotterdam. The apartment is centrally located in quiet avenue with large trees. Within a 10-minute walking distance from the Central Station.<br /><br />A great variety of good (coffee) bars and restaurants can be found in the immediate area's around the house. Several supermarkets and shops are within walking distance. A neighborhood with many diverse cultures and ethnicities.,57107708,Jeroen,within an hour,100%,100%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Middelland,51.91876981093058,4.456812856995083,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],170.0,14,60,1125,5,5,0,2023-04-28,2023-09-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0.63,5.0,5.0,4.8
89,89,11108069,Townhouse in Rotterdam · ★4.91 · 1 bedroom · 1 bed · 1 private bath,"In the neighborhood you will find great nightlife venues such as shops, cafes and restaurants. For example grandcafe marseille.. Doelen en doelencafe<br />Or you can visit the museum Boimans or the park.kunsthal, euromaas, china town. <br />Markthal.",24851404,Steve,within an hour,100%,100%,t,1.0,2,"Rotterdam, Zuid-Holland, Netherlands",Oude Westen,51.92038,4.46401,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],90.0,2,15,1125,354,45,1,2016-04-02,2023-12-04,4.91,4.88,4.94,4.97,4.96,4.83,4.83,f,1,0,0,3.76,4.991902834008097,4.979757085020243,4.631578947368421
90,90,11234725,Rental unit in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1.5 baths,"The neighborhood doesn't have many good bars for drinks, but lot's of lunchrooms/coffee bars. You can find them on the guidebook page of this listing.",58570764,Marnix,within an hour,100%,90%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Nieuwe Westen,51.91621,4.45167,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],180.0,3,1125,1125,61,7,0,2016-02-15,2023-09-30,4.69,4.84,4.39,4.89,4.92,4.54,4.66,f,1,1,0,0.64,5.0,4.977777777777778,4.488888888888889
91,91,11320883,Rental unit in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,,36193660,Veronica,a few days or more,0%,0%,f,1.0,1,,Blijdorp,51.92827,4.46097,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],110.0,2,30,30,6,0,0,2022-06-12,2022-09-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0.32,5.0,5.0,4.4
92,92,11428019,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 2 beds · 1 private bath,,18824030,Jose,within an hour,100%,99%,t,1.0,1,,Nieuwe Westen,51.92079,4.4496,Private room in rental unit,Private room,4,,1 private bath,,2.0,[],71.0,2,22,22,606,41,0,2016-03-09,2023-10-11,4.83,4.88,4.9,4.94,4.9,4.72,4.8,f,1,0,0,6.39,4.987179487179487,4.955128205128205,4.198717948717949
93,93,11475177,Boat in Rotterdam · 1 bedroom · 1 bed · 1.5 baths,,60379943,H.M.Lansdorp,within an hour,100%,99%,t,3.0,4,,Kop van Zuid - Entrepot,51.90855,4.50048,Boat,Entire home/apt,2,,1.5 baths,,1.0,[],89.0,29,1125,1125,2,0,0,2017-08-06,2019-08-22,4.5,4.5,4.5,5.0,5.0,5.0,5.0,f,3,3,0,0.03,5.0,5.0,4.0
94,94,11499957,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,,60379943,H.M.Lansdorp,within an hour,100%,99%,t,3.0,4,,Kop van Zuid - Entrepot,51.9075,4.50205,Houseboat,Entire home/apt,2,,1.5 baths,,1.0,[],125.0,1,1125,1125,513,95,1,2016-03-09,2023-11-25,4.74,4.75,4.62,4.9,4.92,4.79,4.65,t,3,3,0,5.41,4.978632478632479,4.944444444444445,4.1923076923076925
95,95,11527190,Rental unit in Rotterdam · ★4.45 · 2 bedrooms · 1.5 baths,,7121558,Dana,within a day,100%,33%,f,1.0,1,,Stadsdriehoek,51.91694,4.48626,Entire rental unit,Entire home/apt,2,,1.5 baths,,,[],119.0,3,1125,1125,11,0,0,2016-05-17,2019-08-19,4.45,4.45,4.36,4.73,4.73,4.91,4.73,f,1,1,0,0.12,5.0,5.0,5.0
96,96,11633078,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 2 beds · 1 bath,The apartment is located in the most lively part of the city in the very center of Rotterdam. Here you can find plenty of bars and restaurants but also a convenient store if you want to do some groceries!,940898,Jc,,,100%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Cool,51.91532,4.4776,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],,2,1125,1125,142,6,0,2016-03-30,2023-02-18,4.83,4.92,4.68,4.93,4.95,4.95,4.66,f,1,1,0,1.51,4.9480519480519485,4.9480519480519485,4.012987012987013
97,97,11945440,Condo in Rotterdam · ★4.54 · 1 bedroom · 1 bed · 1.5 baths,"We have a Lonely Planet of the Netherlands for our guests. You are within 5 minutes of nice restaurants, several supermarkets, bus tram and metro stops and the neighbourhood Historical Delfshaven is nice to walk and a nice local brewery nearby. With public transport you are within 10 minutes in the center (and Witte de Withstraat). Walking to the city is 25 minutes. Electric Sharing motorbikes everywhere. There is water everywhere in the area. A nice big Park in 10 minutes walk and the taxi to the center costs € 10, -",3700605,Jamilla,,,50%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Delfshaven,51.90817,4.45308,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],,4,1125,1125,24,1,0,2016-04-24,2023-06-10,4.54,4.79,4.5,4.79,4.79,4.58,4.63,f,1,1,0,0.26,5.0,4.9,4.5
98,98,12049772,Rental unit in Rotterdam · ★4.85 · 1 bedroom · 1 bed · 1 private bath,"You'll find everything specific to Rotterdam within a 10 - 20 minutes walk from my house. New buildings like the Markthal and the Central station, famous old buildings, the harbour, our famous skyline, the bridges, the musea, shoppingcenter etcetera",37531148,Bernadet,within a few hours,100%,65%,t,3.0,4,"Rotterdam, ZH, Netherlands",Oude Westen,51.91357,4.46782,Private room in rental unit,Private room,2,,1 private bath,,1.0,[],65.0,2,1125,1125,137,29,1,2016-04-10,2023-11-26,4.85,4.91,4.93,4.97,4.93,4.93,4.85,f,1,0,0,1.46,4.944444444444445,4.922222222222223,4.388888888888889
99,99,12080166,Hostel in Rotterdam · ★4.87 · 1 bedroom · 8 beds · 1.5 shared baths,,7718807,Hostel Ani & Haakien,within a few hours,100%,49%,f,5.0,5,,Oude Westen,51.9204,4.46523,Shared room in hostel,Shared room,8,,1.5 shared baths,,8.0,[],32.0,2,7,7,23,3,0,2016-08-11,2023-10-02,4.87,4.91,4.78,4.87,5.0,4.96,4.87,f,5,0,5,0.26,5.0,5.0,3.7777777777777777
100,100,12752053,Rental unit in Hoek van Holland · ★4.96 · 2 bedrooms · 4 beds · 2 baths,,65713563,Ben,within an hour,100%,94%,t,1.0,1,,Strand en Duin,51.98089,4.11792,Entire rental unit,Entire home/apt,4,,2 baths,,4.0,[],130.0,3,31,31,70,14,1,2016-10-21,2023-11-25,4.96,4.9,4.96,4.96,4.96,4.87,4.87,f,1,1,0,0.8,5.0,4.9375,4.9375
101,101,13520818,Loft in Rotterdam · ★4.89 · 2 bedrooms · 2 beds · 2 baths,,31610110,Julien & Michel,,,,f,2.0,2,,Stadsdriehoek,51.91548,4.4865,Entire loft,Entire home/apt,4,,2 baths,,2.0,[],,4,1125,1125,19,0,0,2016-07-10,2022-08-12,4.89,4.95,4.79,5.0,5.0,5.0,4.67,f,1,1,0,0.21,5.0,5.0,4.6923076923076925
102,102,13579699,Rental unit in Rotterdam · ★4.76 · Studio · 1 bed · 1 bath,"The house is located in a green and quiet street and very near the bustling 'West-Kruiskade' and 'Middelandstraat'. These are very multicultural and offer lots of chinese, turkish, marokkan, vietnamese, surinam eateries. For little extra money you never need to cook :).",141144264,Evelien,,,,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Nieuwe Westen,51.91909,4.45594,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],90.0,7,60,60,33,0,0,2017-03-01,2022-04-19,4.76,4.94,4.88,4.97,4.97,4.94,4.76,f,1,1,0,0.4,5.0,4.928571428571429,4.821428571428571
103,103,13706363,Rental unit in Rotterdam · ★4.81 · 1 bedroom · 2 beds · 1.5 baths,"Known as the StadsDrieHoek (City Triangle), you are right in the centre of the city with a view of the Erasmus Bridge. <br />A colourful and busy neighbourhood, more suited to singles, couples and trios or a couple with 1 child.",79996117,Lance,within an hour,100%,100%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.9137,4.48126,Entire rental unit,Entire home/apt,3,,1.5 baths,,2.0,[],90.0,2,183,1125,415,60,1,2016-07-12,2023-12-04,4.81,4.9,4.69,4.91,4.91,4.91,4.78,f,1,1,0,4.58,4.978339350180505,4.945848375451264,4.259927797833935
104,104,13811450,Barn in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,"The old farm is situated in a beautiful piece of nature, between the big cities! There are only about 20 houses and a couple of months ago a new restaurant opened it's doors! It is only a 5 minute walk from the guesthouse! <br /><br />It is a lovely area for walking and/or cycling! Also the old city centres of Schiedam, Delft and Rotterdam are pretty nearby and can be reached by bike easily! <br /><br />Also the beach is pretty nearby! You can drive to Hoekv an Holland in 25 minutes or to the boulevard of Scheveningen in 40 minutes! In 2023 Rotterdam realized a new subway line and from now on you can take the subway all the way from Schiedam to the beach of Hoek van Holland! For more information visit the RET website of 9292ov (website or app on your phone)",51894047,Marieke & Arne,within an hour,100%,99%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Noord Kethel,51.95722579956055,4.397226810455322,Barn,Entire home/apt,2,,1 bath,,1.0,[],87.0,2,56,1125,294,47,2,2016-07-29,2023-12-21,4.8,4.91,4.79,4.92,4.92,4.8,4.76,t,1,1,0,3.26,4.991150442477876,4.902654867256637,4.504424778761062
105,105,13941233,Rental unit in Rotterdam · ★4.80 · 2 bedrooms · 4 beds · 1 bath,"Its only a few minutes walk from the trainstation, so also very handy when you want to visit Amsterdam which will take you 50 minutes by train. Also a few minutes walk from the Markthal, cubic houses, metro and the Meent and Boogjes where you can find nice bars and restaurants. Because of the parc in front of the garden also a very quiet place. There is a big market every tuesday and saturday next to the parc. And in front and at the backside of the house enough parkingspace.",18154189,Laura,,,,f,1.0,2,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.92406,4.48255,Entire rental unit,Entire home/apt,4,,1 bath,,4.0,[],,1,120,120,5,0,0,2017-07-31,2022-08-13,4.8,4.4,4.6,4.6,4.8,5.0,4.6,t,1,1,0,0.06,5.0,5.0,3.6666666666666665
106,106,14047222,Townhouse in Rotterdam · ★4.51 · 1 bedroom · 1 bed · 1 private bath,"Historisch Delfshaven bevindt zich op 15 minuten loopafstand via de langste winkelstraat van heel Nederland. <br />Historisch Delfshaven is een uniek stukje oud Rotterdam Met prachtige en bijzondere gevelhuizen waan je je even in de tijd terug. En met alle fijne restaurantjes in de buurt, kun je heerlijk ontbijten, lunchen en dineren. Of met je picknickmand aan het water.  Of zelfs een bootje huren. De supermarkten en biologisch winkels zijn op geringe loopafstand. Ook ben je dichtbij het Euromastpark en kun je per watertaxi bijv. naar Hotel Newyork.",4908529,Luna,within a day,100%,61%,f,2.0,6,"Rotterdam, Zuid-Holland, Netherlands",Bospolder,51.90811,4.44508,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],88.0,7,59,59,117,11,1,2016-08-08,2023-11-30,4.51,4.66,4.28,4.85,4.86,4.88,4.5,f,2,0,0,1.3,4.972972972972973,4.891891891891892,4.054054054054054
107,107,14778037,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,Blijdorp is a neighbourhood in northern Rotterdam and is part of the borough Noord. The up-town neighbourhood has around 9500 inhabitants.<br /><br />The construction was between 1931 and 1940 and this part of town was not affected by the bombing of Rotterdam of May 14. This is why it has been nominated bij the municipality Rotterdam for the status of conservation area.<br /><br />Blijdorp is closely associated with the Rotterdam Zoo in the same district.,49103690,Bas,within an hour,100%,100%,f,1.0,3,"Rotterdam, Zuid-Holland, Netherlands",Blijdorp,51.92961,4.45628,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],96.0,4,60,1125,23,3,0,2017-01-01,2023-08-25,4.78,4.78,4.65,4.87,4.96,4.78,4.82,f,1,1,0,0.27,5.0,4.941176470588236,4.823529411764706
108,108,14912543,Houseboat in Rotterdam · ★4.76 · 2 beds · 1 bath,"You're right in the city centre. So all Rotterdam's highlights are within a 15 mins walk! Markthall, Erasmusbridge, Witte de Wittstraat, Tent, Meent, Coolsingel, Kunsthal, Lijnbaan, Booijman van Beuningen Museum, and the list goes on and on...<br /><br />There is a restaurant right next door, a big super market, and other small shops in the neighbourhood.",46700761,Premala,within an hour,100%,100%,t,3.0,4,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.91575,4.48535,Houseboat,Entire home/apt,4,,1 bath,,2.0,[],121.0,1,30,1125,625,104,5,2016-09-11,2023-12-12,4.76,4.78,4.42,4.86,4.91,4.96,4.61,f,3,1,0,7.05,4.959390862944162,4.944162436548224,4.289340101522843
109,109,14923755,Houseboat in Rotterdam · ★4.79 · 1 bedroom · 2 beds · 1 shared bath,"You're right in the city centre. So all Rotterdam's highlights are within a 15 mins walk! Markthall, Erasmusbridge, Witte de Wittstraat, Tent, Meent, Coolsingel, Kunsthal, Lijnbaan, Booijman van Beuningen Museum, and the list goes on and on...<br /><br />There is a restaurant right next door, a big super market, and other small shops in the neighbourhood.",46700761,Premala,within an hour,100%,100%,t,3.0,4,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.91575,4.48569,Private room in houseboat,Private room,2,,1 shared bath,,2.0,[],76.0,1,27,1125,664,98,3,2016-09-11,2023-12-06,4.79,4.82,4.66,4.88,4.93,4.95,4.74,f,3,1,0,7.49,4.976293103448276,4.952586206896552,4.331896551724138
110,110,14963938,Guest suite in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,"Shopping street around the corner, town is very close (10 min with metro). Near the Kralingse plas and wood. Metro and tram 100 meters. Quiet. Near EUR. Centre of Kralingen. Historic district. A lot of restaurants are found here.",93599077,Sandra,within an hour,100%,96%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Kralingen Oost,51.92288,4.51243,Entire guest suite,Entire home/apt,2,,1.5 baths,,1.0,[],63.0,2,7,7,419,68,7,2016-10-26,2023-12-17,4.83,4.87,4.82,4.95,4.96,4.84,4.83,f,1,1,0,4.81,4.995967741935484,4.971774193548387,4.338709677419355
111,111,15097129,Serviced apartment in Rotterdam · ★4.75 · 1 bedroom · 1 bed · 1 bath,"Witte de Withstraat is the place to be when visiting Rotterdam. It has many restaurants that are open till late and amazing bars with seating outside. It is a two minute walk to the nearest tube station and three minute walk to the shopping district.<br /><br />Furthermore it is nearby the Coolsingel which houses the Rotterdam City hall, and it's nearby the shopping boulevard of the city. If you don't like the big shops you can also visite the small boutiques on the Van Oldenbarneveldstraat, Karel Doormanstraat or de Meent. <br /> If you have a panache for art, local products or like to buy things from local artists, entrepreneurs, hobbyist/amateurs, the Witte de Withstraat is dotted with (vintage and pop-up) shops/boutiques & galleries that sell these.<br /><br />It's  a 10 minute walk from:<br />- the newly constructed Markthal, which you really should visite to buy some local products or eat something at the venues. <br />- the Cubic houses<br />- the Eramusburg where you can explor",52925696,Fatima,within an hour,100%,72%,f,2.0,6,"Rotterdam, Zuid-Holland, Netherlands",Cool,51.91597,4.4755,Entire serviced apartment,Entire home/apt,3,,1 bath,,1.0,[],219.0,1,1125,1125,111,22,0,2016-11-11,2023-10-21,4.75,4.77,4.9,4.84,4.79,4.87,4.62,t,2,2,0,1.28,4.944444444444445,4.902777777777778,4.041666666666667
112,112,15295847,Rental unit in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,,32329237,Kajan,within an hour,100%,96%,t,1.0,1,,Schiemond,51.9023,4.45777,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],121.0,2,1125,1125,127,49,3,2016-11-13,2023-12-17,4.8,4.8,4.76,4.85,4.93,4.83,4.65,f,1,1,0,1.47,4.958904109589041,4.863013698630137,4.273972602739726
113,113,15461971,Condo in Rotterdam · ★4.88 · 3 bedrooms · 4 beds · 1.5 baths,"Dutch+English<br />Ons deel van het Nieuwe Westen is rustig, met een grote kinderspeeltuin om de hoek. De buurt stamt uit het begin van de vorige eeuw en de straat staat vol met monumentale kastanjes.<br /><br />Our part of the neighbourhood is quiet, with a large children's playground around the corner. The neighbourhood originates at the start of the 20th century and the lane is planted with stately chestnut trees.",4777563,Arnout,,,,f,1.0,2,"Rotterdam, ZH, Netherlands",Nieuwe Westen,51.91676,4.45228,Entire condo,Entire home/apt,4,,1.5 baths,,4.0,[],,3,14,14,24,0,0,2016-10-29,2022-08-06,4.88,4.96,4.92,4.92,5.0,4.83,4.75,f,1,1,0,0.28,5.0,4.944444444444445,4.777777777777778
114,114,15520217,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 3 beds · 1.5 baths,An island within the city. Silent and Central.,99762586,Vincent,within a day,100%,100%,t,2.0,4,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.91593,4.48612,Entire rental unit,Entire home/apt,3,,1.5 baths,,3.0,[],150.0,16,1125,1125,35,3,0,2016-10-23,2023-08-03,4.83,4.77,4.49,4.91,4.91,4.91,4.54,f,1,1,0,0.4,5.0,5.0,4.714285714285714
115,115,15593577,Boat in Rotterdam · ★4.88 · 1 bedroom · 16 beds · 7 baths,The lonely planet thinks Rotterdam is a must-see-city and CNN think it's 'Europe's new capitol of cool'. Of course I agree :-) but please visit and find out for yourself!,34569260,Deniz,within an hour,100%,100%,f,1.0,4,"Rotterdam, Zuid-Holland, Netherlands",Stadsdriehoek,51.91814,4.48472,Boat,Entire home/apt,12,,7 baths,,16.0,[],570.0,1,90,1125,60,3,0,2016-11-13,2023-03-26,4.88,4.88,4.62,4.97,4.95,4.98,4.81,t,1,1,0,0.69,4.75,4.75,3.9166666666666665
116,116,15653622,Rental unit in Rotterdam · ★4.48 · 2 bedrooms · 2 beds · 1 bath,"Near downtown, and great food in the neighborhood",80337664,Theodorus,within an hour,100%,91%,f,1.0,3,"Rotterdam, Zuid-Holland, Netherlands",Oud Charlois,51.89154,4.4688,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],170.0,2,1125,1125,200,12,0,2016-11-04,2023-11-12,4.48,4.67,4.52,4.89,4.86,4.41,4.58,f,1,1,0,2.3,4.872549019607843,4.833333333333333,4.049019607843137
117,117,15660317,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,"The apartment is at walking distance (5 min.) from central station in a hip, cozy and quiet neighbourhood Blijdorp. The city center starts directly at the other side of the railway (5 minute walk). The Rotterdam Zoo is within walking distance as well as bars and restaurants.<br /><br />You can also catch a metro, tram or bus (or train) at central station. It takes a 40 minute train to go to Amsterdam, and within 15 minutes you will be in The Hague.",17626927,Pim,within a day,100%,100%,f,1.0,2,"Rotterdam, ZH, Netherlands",Blijdorp,51.92877,4.46512,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],107.0,3,1125,1125,23,0,0,2016-10-30,2021-06-25,4.78,4.83,4.78,4.91,4.91,4.78,4.78,f,1,1,0,0.26,5.0,5.0,4.428571428571429
118,118,15840974,Rental unit in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,"Stately canals, quiet streets and the beloved Vroesenpark: the Blijdorp district is not just a protected cityscape. The green parks are popular with residents, who sunbathe and barbecue in the summer. The pre-war houses are very suitable for families and the neighborhood offers something for everyone, Diergaarde Blijdorp for the little ones (actually for everyone, of course), dog playground Bello for the four-legged friend and the Roel Langerakpark for the athletes among us. Both train and RandstadRail make the district very accessible.",12509224,Sebastiaan,within a day,100%,100%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Bergpolder,51.9364044,4.4627047,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],150.0,5,1125,1125,5,5,0,2023-05-22,2023-10-02,5.0,5.0,4.4,5.0,5.0,4.2,4.8,f,1,1,0,0.69,5.0,5.0,4.5
