listing_id,name,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month
11108069,Townhouse in Rotterdam · ★4.91 · 1 bedroom · 1 bed · 1 private bath,"In the neighborhood you will find great nightlife venues such as shops, cafes and restaurants. For example grandcafe marseille.. Doelen en doelencafe<br />Or you can visit the museum Boimans or the park.kunsthal, euromaas, china town. <br />Markthal.",24851404,within an hour,100%,100%,t,1.0,2,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],90.0,2,15,1125,354,45,1,2016-04-02,2023-12-04,4.91,4.88,4.94,4.97,4.96,4.83,4.83,f,1,0,0,3.76
11234725,Rental unit in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1.5 baths,"The neighborhood doesn't have many good bars for drinks, but lot's of lunchrooms/coffee bars. You can find them on the guidebook page of this listing.",58570764,within an hour,100%,90%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],180.0,3,1125,1125,61,7,0,2016-02-15,2023-09-30,4.69,4.84,4.39,4.89,4.92,4.54,4.66,f,1,1,0,0.64
11320883,Rental unit in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,,36193660,a few days or more,0%,0%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],110.0,2,30,30,6,0,0,2022-06-12,2022-09-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0.32
11428019,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 2 beds · 1 private bath,,18824030,within an hour,100%,99%,t,1.0,1,Private room in rental unit,Private room,4,,1 private bath,,2.0,[],71.0,2,22,22,606,41,0,2016-03-09,2023-10-11,4.83,4.88,4.9,4.94,4.9,4.72,4.8,f,1,0,0,6.39
11475177,Boat in Rotterdam · 1 bedroom · 1 bed · 1.5 baths,,60379943,within an hour,100%,99%,t,3.0,4,Boat,Entire home/apt,2,,1.5 baths,,1.0,[],89.0,29,1125,1125,2,0,0,2017-08-06,2019-08-22,4.5,4.5,4.5,5.0,5.0,5.0,5.0,f,3,3,0,0.03
11499957,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,,60379943,within an hour,100%,99%,t,3.0,4,Houseboat,Entire home/apt,2,,1.5 baths,,1.0,[],125.0,1,1125,1125,513,95,1,2016-03-09,2023-11-25,4.74,4.75,4.62,4.9,4.92,4.79,4.65,t,3,3,0,5.41
11527190,Rental unit in Rotterdam · ★4.45 · 2 bedrooms · 1.5 baths,,7121558,within a day,100%,33%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,,[],119.0,3,1125,1125,11,0,0,2016-05-17,2019-08-19,4.45,4.45,4.36,4.73,4.73,4.91,4.73,f,1,1,0,0.12
11633078,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 2 beds · 1 bath,The apartment is located in the most lively part of the city in the very center of Rotterdam. Here you can find plenty of bars and restaurants but also a convenient store if you want to do some groceries!,940898,,,100%,t,1.0,1,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],,2,1125,1125,142,6,0,2016-03-30,2023-02-18,4.83,4.92,4.68,4.93,4.95,4.95,4.66,f,1,1,0,1.51
11945440,Condo in Rotterdam · ★4.54 · 1 bedroom · 1 bed · 1.5 baths,"We have a Lonely Planet of the Netherlands for our guests. You are within 5 minutes of nice restaurants, several supermarkets, bus tram and metro stops and the neighbourhood Historical Delfshaven is nice to walk and a nice local brewery nearby. With public transport you are within 10 minutes in the center (and Witte de Withstraat). Walking to the city is 25 minutes. Electric Sharing motorbikes everywhere. There is water everywhere in the area. A nice big Park in 10 minutes walk and the taxi to the center costs € 10, -",3700605,,,50%,f,1.0,1,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],,4,1125,1125,24,1,0,2016-04-24,2023-06-10,4.54,4.79,4.5,4.79,4.79,4.58,4.63,f,1,1,0,0.26
12049772,Rental unit in Rotterdam · ★4.85 · 1 bedroom · 1 bed · 1 private bath,"You'll find everything specific to Rotterdam within a 10 - 20 minutes walk from my house. New buildings like the Markthal and the Central station, famous old buildings, the harbour, our famous skyline, the bridges, the musea, shoppingcenter etcetera",37531148,within a few hours,100%,65%,t,3.0,4,Private room in rental unit,Private room,2,,1 private bath,,1.0,[],65.0,2,1125,1125,137,29,1,2016-04-10,2023-11-26,4.85,4.91,4.93,4.97,4.93,4.93,4.85,f,1,0,0,1.46
12080166,Hostel in Rotterdam · ★4.87 · 1 bedroom · 8 beds · 1.5 shared baths,,7718807,within a few hours,100%,49%,f,5.0,5,Shared room in hostel,Shared room,8,,1.5 shared baths,,8.0,[],32.0,2,7,7,23,3,0,2016-08-11,2023-10-02,4.87,4.91,4.78,4.87,5.0,4.96,4.87,f,5,0,5,0.26
12752053,Rental unit in Hoek van Holland · ★4.96 · 2 bedrooms · 4 beds · 2 baths,,65713563,within an hour,100%,94%,t,1.0,1,Entire rental unit,Entire home/apt,4,,2 baths,,4.0,[],130.0,3,31,31,70,14,1,2016-10-21,2023-11-25,4.96,4.9,4.96,4.96,4.96,4.87,4.87,f,1,1,0,0.8
13520818,Loft in Rotterdam · ★4.89 · 2 bedrooms · 2 beds · 2 baths,,31610110,,,,f,2.0,2,Entire loft,Entire home/apt,4,,2 baths,,2.0,[],,4,1125,1125,19,0,0,2016-07-10,2022-08-12,4.89,4.95,4.79,5.0,5.0,5.0,4.67,f,1,1,0,0.21
13579699,Rental unit in Rotterdam · ★4.76 · Studio · 1 bed · 1 bath,"The house is located in a green and quiet street and very near the bustling 'West-Kruiskade' and 'Middelandstraat'. These are very multicultural and offer lots of chinese, turkish, marokkan, vietnamese, surinam eateries. For little extra money you never need to cook :).",141144264,,,,f,1.0,1,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],90.0,7,60,60,33,0,0,2017-03-01,2022-04-19,4.76,4.94,4.88,4.97,4.97,4.94,4.76,f,1,1,0,0.4
13706363,Rental unit in Rotterdam · ★4.81 · 1 bedroom · 2 beds · 1.5 baths,"Known as the StadsDrieHoek (City Triangle), you are right in the centre of the city with a view of the Erasmus Bridge. <br />A colourful and busy neighbourhood, more suited to singles, couples and trios or a couple with 1 child.",79996117,within an hour,100%,100%,f,1.0,1,Entire rental unit,Entire home/apt,3,,1.5 baths,,2.0,[],90.0,2,183,1125,415,60,1,2016-07-12,2023-12-04,4.81,4.9,4.69,4.91,4.91,4.91,4.78,f,1,1,0,4.58
13811450,Barn in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,"The old farm is situated in a beautiful piece of nature, between the big cities! There are only about 20 houses and a couple of months ago a new restaurant opened it's doors! It is only a 5 minute walk from the guesthouse! <br /><br />It is a lovely area for walking and/or cycling! Also the old city centres of Schiedam, Delft and Rotterdam are pretty nearby and can be reached by bike easily! <br /><br />Also the beach is pretty nearby! You can drive to Hoekv an Holland in 25 minutes or to the boulevard of Scheveningen in 40 minutes! In 2023 Rotterdam realized a new subway line and from now on you can take the subway all the way from Schiedam to the beach of Hoek van Holland! For more information visit the RET website of 9292ov (website or app on your phone)",51894047,within an hour,100%,99%,t,1.0,1,Barn,Entire home/apt,2,,1 bath,,1.0,[],87.0,2,56,1125,294,47,2,2016-07-29,2023-12-21,4.8,4.91,4.79,4.92,4.92,4.8,4.76,t,1,1,0,3.26
13941233,Rental unit in Rotterdam · ★4.80 · 2 bedrooms · 4 beds · 1 bath,"Its only a few minutes walk from the trainstation, so also very handy when you want to visit Amsterdam which will take you 50 minutes by train. Also a few minutes walk from the Markthal, cubic houses, metro and the Meent and Boogjes where you can find nice bars and restaurants. Because of the parc in front of the garden also a very quiet place. There is a big market every tuesday and saturday next to the parc. And in front and at the backside of the house enough parkingspace.",18154189,,,,f,1.0,2,Entire rental unit,Entire home/apt,4,,1 bath,,4.0,[],,1,120,120,5,0,0,2017-07-31,2022-08-13,4.8,4.4,4.6,4.6,4.8,5.0,4.6,t,1,1,0,0.06
14047222,Townhouse in Rotterdam · ★4.51 · 1 bedroom · 1 bed · 1 private bath,"Historisch Delfshaven bevindt zich op 15 minuten loopafstand via de langste winkelstraat van heel Nederland. <br />Historisch Delfshaven is een uniek stukje oud Rotterdam Met prachtige en bijzondere gevelhuizen waan je je even in de tijd terug. En met alle fijne restaurantjes in de buurt, kun je heerlijk ontbijten, lunchen en dineren. Of met je picknickmand aan het water.  Of zelfs een bootje huren. De supermarkten en biologisch winkels zijn op geringe loopafstand. Ook ben je dichtbij het Euromastpark en kun je per watertaxi bijv. naar Hotel Newyork.",4908529,within a day,100%,61%,f,2.0,6,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],88.0,7,59,59,117,11,1,2016-08-08,2023-11-30,4.51,4.66,4.28,4.85,4.86,4.88,4.5,f,2,0,0,1.3
14778037,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,Blijdorp is a neighbourhood in northern Rotterdam and is part of the borough Noord. The up-town neighbourhood has around 9500 inhabitants.<br /><br />The construction was between 1931 and 1940 and this part of town was not affected by the bombing of Rotterdam of May 14. This is why it has been nominated bij the municipality Rotterdam for the status of conservation area.<br /><br />Blijdorp is closely associated with the Rotterdam Zoo in the same district.,49103690,within an hour,100%,100%,f,1.0,3,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],96.0,4,60,1125,23,3,0,2017-01-01,2023-08-25,4.78,4.78,4.65,4.87,4.96,4.78,4.82,f,1,1,0,0.27
14912543,Houseboat in Rotterdam · ★4.76 · 2 beds · 1 bath,"You're right in the city centre. So all Rotterdam's highlights are within a 15 mins walk! Markthall, Erasmusbridge, Witte de Wittstraat, Tent, Meent, Coolsingel, Kunsthal, Lijnbaan, Booijman van Beuningen Museum, and the list goes on and on...<br /><br />There is a restaurant right next door, a big super market, and other small shops in the neighbourhood.",46700761,within an hour,100%,100%,t,3.0,4,Houseboat,Entire home/apt,4,,1 bath,,2.0,[],121.0,1,30,1125,625,104,5,2016-09-11,2023-12-12,4.76,4.78,4.42,4.86,4.91,4.96,4.61,f,3,1,0,7.05
14923755,Houseboat in Rotterdam · ★4.79 · 1 bedroom · 2 beds · 1 shared bath,"You're right in the city centre. So all Rotterdam's highlights are within a 15 mins walk! Markthall, Erasmusbridge, Witte de Wittstraat, Tent, Meent, Coolsingel, Kunsthal, Lijnbaan, Booijman van Beuningen Museum, and the list goes on and on...<br /><br />There is a restaurant right next door, a big super market, and other small shops in the neighbourhood.",46700761,within an hour,100%,100%,t,3.0,4,Private room in houseboat,Private room,2,,1 shared bath,,2.0,[],76.0,1,27,1125,664,98,3,2016-09-11,2023-12-06,4.79,4.82,4.66,4.88,4.93,4.95,4.74,f,3,1,0,7.49
14963938,Guest suite in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,"Shopping street around the corner, town is very close (10 min with metro). Near the Kralingse plas and wood. Metro and tram 100 meters. Quiet. Near EUR. Centre of Kralingen. Historic district. A lot of restaurants are found here.",93599077,within an hour,100%,96%,t,1.0,1,Entire guest suite,Entire home/apt,2,,1.5 baths,,1.0,[],63.0,2,7,7,419,68,7,2016-10-26,2023-12-17,4.83,4.87,4.82,4.95,4.96,4.84,4.83,f,1,1,0,4.81
15097129,Serviced apartment in Rotterdam · ★4.75 · 1 bedroom · 1 bed · 1 bath,"Witte de Withstraat is the place to be when visiting Rotterdam. It has many restaurants that are open till late and amazing bars with seating outside. It is a two minute walk to the nearest tube station and three minute walk to the shopping district.<br /><br />Furthermore it is nearby the Coolsingel which houses the Rotterdam City hall, and it's nearby the shopping boulevard of the city. If you don't like the big shops you can also visite the small boutiques on the Van Oldenbarneveldstraat, Karel Doormanstraat or de Meent. <br /> If you have a panache for art, local products or like to buy things from local artists, entrepreneurs, hobbyist/amateurs, the Witte de Withstraat is dotted with (vintage and pop-up) shops/boutiques & galleries that sell these.<br /><br />It's  a 10 minute walk from:<br />- the newly constructed Markthal, which you really should visite to buy some local products or eat something at the venues. <br />- the Cubic houses<br />- the Eramusburg where you can explor",52925696,within an hour,100%,72%,f,2.0,6,Entire serviced apartment,Entire home/apt,3,,1 bath,,1.0,[],219.0,1,1125,1125,111,22,0,2016-11-11,2023-10-21,4.75,4.77,4.9,4.84,4.79,4.87,4.62,t,2,2,0,1.28
15295847,Rental unit in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,,32329237,within an hour,100%,96%,t,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],121.0,2,1125,1125,127,49,3,2016-11-13,2023-12-17,4.8,4.8,4.76,4.85,4.93,4.83,4.65,f,1,1,0,1.47
15461971,Condo in Rotterdam · ★4.88 · 3 bedrooms · 4 beds · 1.5 baths,"Dutch+English<br />Ons deel van het Nieuwe Westen is rustig, met een grote kinderspeeltuin om de hoek. De buurt stamt uit het begin van de vorige eeuw en de straat staat vol met monumentale kastanjes.<br /><br />Our part of the neighbourhood is quiet, with a large children's playground around the corner. The neighbourhood originates at the start of the 20th century and the lane is planted with stately chestnut trees.",4777563,,,,f,1.0,2,Entire condo,Entire home/apt,4,,1.5 baths,,4.0,[],,3,14,14,24,0,0,2016-10-29,2022-08-06,4.88,4.96,4.92,4.92,5.0,4.83,4.75,f,1,1,0,0.28
15520217,Rental unit in Rotterdam · ★4.83 · 2 bedrooms · 3 beds · 1.5 baths,An island within the city. Silent and Central.,99762586,within a day,100%,100%,t,2.0,4,Entire rental unit,Entire home/apt,3,,1.5 baths,,3.0,[],150.0,16,1125,1125,35,3,0,2016-10-23,2023-08-03,4.83,4.77,4.49,4.91,4.91,4.91,4.54,f,1,1,0,0.4
15593577,Boat in Rotterdam · ★4.88 · 1 bedroom · 16 beds · 7 baths,The lonely planet thinks Rotterdam is a must-see-city and CNN think it's 'Europe's new capitol of cool'. Of course I agree :-) but please visit and find out for yourself!,34569260,within an hour,100%,100%,f,1.0,4,Boat,Entire home/apt,12,,7 baths,,16.0,[],570.0,1,90,1125,60,3,0,2016-11-13,2023-03-26,4.88,4.88,4.62,4.97,4.95,4.98,4.81,t,1,1,0,0.69
15653622,Rental unit in Rotterdam · ★4.48 · 2 bedrooms · 2 beds · 1 bath,"Near downtown, and great food in the neighborhood",80337664,within an hour,100%,91%,f,1.0,3,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],170.0,2,1125,1125,200,12,0,2016-11-04,2023-11-12,4.48,4.67,4.52,4.89,4.86,4.41,4.58,f,1,1,0,2.3
15660317,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,"The apartment is at walking distance (5 min.) from central station in a hip, cozy and quiet neighbourhood Blijdorp. The city center starts directly at the other side of the railway (5 minute walk). The Rotterdam Zoo is within walking distance as well as bars and restaurants.<br /><br />You can also catch a metro, tram or bus (or train) at central station. It takes a 40 minute train to go to Amsterdam, and within 15 minutes you will be in The Hague.",17626927,within a day,100%,100%,f,1.0,2,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],107.0,3,1125,1125,23,0,0,2016-10-30,2021-06-25,4.78,4.83,4.78,4.91,4.91,4.78,4.78,f,1,1,0,0.26
15840974,Rental unit in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,"Stately canals, quiet streets and the beloved Vroesenpark: the Blijdorp district is not just a protected cityscape. The green parks are popular with residents, who sunbathe and barbecue in the summer. The pre-war houses are very suitable for families and the neighborhood offers something for everyone, Diergaarde Blijdorp for the little ones (actually for everyone, of course), dog playground Bello for the four-legged friend and the Roel Langerakpark for the athletes among us. Both train and RandstadRail make the district very accessible.",12509224,within a day,100%,100%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],150.0,5,1125,1125,5,5,0,2023-05-22,2023-10-02,5.0,5.0,4.4,5.0,5.0,4.2,4.8,f,1,1,0,0.69
16286764,Loft in Rotterdam · ★5.0 · 1 bedroom · 2 beds · 1 bath,"Very lively nabourhood but the street is quit. The best musea and best pubs and restaurants are also very close. 500 mtr / 1 km. Many public tranportation (bus, tram Subway) and you can park Your car fairly easy (but paid)",51393842,within a day,100%,100%,f,1.0,3,Entire loft,Entire home/apt,2,,1 bath,,2.0,[],,30,360,360,19,1,0,2017-01-01,2023-07-30,5.0,4.95,4.89,4.95,4.89,4.79,4.89,f,1,1,0,0.22
16306501,Boat in Rotterdam · ★4.63 · 10 bedrooms · 21 beds · 3 baths,"Men kan plezierig rond de haven naar het Euromast(park) wandelen, uit varen gaan met de Spido havenrondvaart of (snelle) watertaxi gaan lunchen in ""Hotel New York"" of dwalen over de SS ""Rotterdam"" !<br />Musea en Euromast(park) op loopafstand.<br />Het monumentale scheepvaartkwartier herbergt vele cafe's en restaurants.<br />Fietsenhuur op loopafstand. (Schiedamsedijk; ""Centrum bikes"")<br />Het is goed stappen in de Witte de Withstraat! (400 meter wandelen), Witte Aap, NRC,dan los in de Maassilo, Skihut, BAR, Tofler, Beurs, Beurt, Rotown, Get Back, Villa Thalia, Zimmermann, Stadscafe, etc",9614440,within an hour,100%,97%,f,3.0,3,Boat,Entire home/apt,16,,3 baths,,21.0,[],525.0,2,90,1125,80,18,1,2017-02-03,2023-11-26,4.63,4.59,4.14,4.74,4.8,4.95,4.68,f,2,2,0,0.95
16416492,Condo in Rotterdam · ★4.96 · 1 bedroom · 2 beds · 1.5 shared baths,Quiet neighbourhood with a lot of green just around the corner of the city centre.,21552245,within an hour,100%,100%,t,1.0,1,Private room in condo,Private room,2,,1.5 shared baths,,2.0,[],51.0,3,1125,1125,205,27,2,2017-01-27,2023-11-27,4.96,4.99,4.9,5.0,4.99,4.95,4.96,f,1,0,0,2.44
16594089,Townhouse in Rotterdam · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,"Within 250 meters there’s a big variety of things that you want nearby: shops, breakfast places, restaurants, cafes, a night shop, and the Emergency Room of the Erasmus University Hospital. There are four superarkets within 700 meters.",26899206,within an hour,100%,98%,t,2.0,2,Entire townhouse,Entire home/apt,2,,1.5 baths,,1.0,[],74.0,2,35,1125,241,27,0,2017-02-25,2023-10-18,4.79,4.87,4.81,4.95,4.91,4.96,4.76,f,2,2,0,2.9
16599892,Condo in Rotterdam · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,,3127780,within an hour,100%,90%,f,1.0,4,Entire condo,Entire home/apt,4,,1.5 baths,,2.0,[],136.0,4,15,1125,66,7,0,2018-07-09,2023-09-18,5.0,4.97,4.94,4.97,5.0,4.94,4.95,f,1,1,0,0.99
16615958,Rental unit in Rotterdam · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths,"Just a few minutes from our front door you'll find the vibrant Witte de With street, Nieuwe Binnenweg and Eendrachts-square on which many restaurants and café's are situated, for either breakfast, lunch, drinks or dinner. Throughout the past years we have been able to try many of these places and would love to share our (culinary) tips with you. Supermarkets, shopping area's, musea and other highlights of the city are all walking distance or easily accessible from our home.<br /><br />Op enkele minuten lopen vindt u de bruisende Witte de With straat, Nieuwe Binnenweg en Eendrachtsplein waar vele restaurants en cafés gelegen zijn voor zowel ontbijt, lunch, borrel als diner. Gedurende de afgelopen jaren hebben wij veel leuke (culinaire) gelegenheden in Rotterdam en omgeving kunnen uitproberen, waardoor we u kunnen voorzien van insider tips. Verder zijn supermarkten, winkelgelegenheden, musea en andere bezienswaardigheden allen gemakkelijk te bereiken.",73149283,within a day,100%,67%,f,1.0,1,Entire rental unit,Entire home/apt,4,,1.5 baths,,2.0,[],154.0,6,1125,1125,31,1,0,2019-12-15,2023-05-22,4.97,4.97,4.84,4.97,4.87,4.94,4.87,f,1,1,0,0.63
16629230,Rental unit in Rotterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,"Best neighbourhood in Rotterdam. There are a mixture of historical and newly built buildings. Also the small harbor, called 'Veerhaven' gives the place a very nice amotsphere. You can see my attached travel guide and see why!",109830974,within an hour,100%,96%,t,1.0,1,Private room in rental unit,Private room,2,,1.5 shared baths,,1.0,[],,1,14,1125,87,14,0,2018-07-06,2023-09-03,4.91,4.89,4.89,4.95,4.99,4.95,4.78,f,1,0,0,1.31
16649402,Rental unit in Rotterdam · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,"Wat heeft Rotterdam Noord dat andere Rotterdamse wijken niet hebben?<br /><br />Het Vroesenpark: de plek om ’s zomers te picknicken, barbecueën en voetballen.<br /><br />Station Hofplein: onder voormalig treinstation Hofplein vind je unieke winkeltjes met onder meer vintage kleding en meubels, koffiebarretjes, restaurants en jazzclub Bird.<br /><br />Het Zwaanshals en de Zaagmolenkade: twee straten vol designshops en delicatessen.<br /><br />Diergaarde Blijdorp: een van de oudste en mooiste dierentuinen van Nederland.",11562876,within a day,100%,89%,t,1.0,3,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],115.0,3,1125,1125,53,8,0,2017-01-15,2023-07-12,4.87,4.79,4.81,4.94,4.92,4.72,4.74,f,1,1,0,0.63
16699987,Rental unit in Rotterdam · ★4.47 · 2 bedrooms · 6 beds · 1 bath,"Je bevind je pal naast de gezellige Witte de Withstraat, met haar vele leuke en gezellige restaurants en cafés. Café De Witte Aap op de Witte de Withstraat is uitgeroepen tot beste café van de Wereld.<br /><br />Voor het shoppen ben je lopend binnen 5 minuten in het centrum van winkelend Rotterdam",110619700,within an hour,100%,100%,f,2.0,2,Entire rental unit,Entire home/apt,6,,1 bath,,6.0,[],115.0,1,1125,1125,288,46,2,2017-02-11,2023-12-17,4.47,4.59,4.58,4.81,4.76,4.83,4.34,t,2,2,0,3.45
16749023,Boat in Rotterdam · ★4.71 · 7 bedrooms · 18 beds · 3 baths,"Hartje Rotterdam nabij de markthal, kubus woningen, oude haven en restaurantjes en leuke barretjes.",105778145,within a day,100%,56%,t,1.0,1,Boat,Entire home/apt,16,,3 baths,,18.0,[],342.0,1,21,21,41,5,0,2017-01-28,2023-04-15,4.71,4.76,4.66,4.88,4.95,4.93,4.78,f,1,1,0,0.49
16875913,Rental unit in Hoogvliet Rotterdam · ★4.51 · 2 bedrooms · 4 beds · 1.5 baths,mooie bosrijke polder landschap vlakbij het centrum van Rotterdamse stad,74009812,within an hour,100%,100%,t,4.0,10,Entire rental unit,Entire home/apt,6,,1.5 baths,,4.0,[],105.0,7,30,30,63,0,0,2017-03-30,2022-03-27,4.51,4.56,4.44,4.73,4.81,4.54,4.71,f,2,2,0,0.77
17037437,Rental unit in Rotterdam · ★4.49 · 2 bedrooms · 5 beds · 1 bath,Het appartement ligt in hartje centrum van Rotterdam. Alle bezienswaardigheden zijn te voet of met het openbaar vervoer goed te bereiken. Metro en tram stoppen voor de deur.,110619700,within an hour,100%,100%,f,2.0,2,Entire rental unit,Entire home/apt,6,,1 bath,,5.0,[],116.0,1,1125,1125,380,73,3,2017-03-19,2023-12-14,4.49,4.62,4.58,4.83,4.72,4.85,4.39,t,2,2,0,4.61
17214859,Townhouse in Rotterdam · ★5.0 · 2 bedrooms · 2 beds · 2 baths,,7492414,within a few hours,100%,75%,f,1.0,2,Entire townhouse,Entire home/apt,4,,2 baths,,2.0,[],213.0,4,10,10,4,4,0,2023-08-01,2023-10-21,5.0,4.75,4.75,5.0,5.0,5.0,4.75,f,1,1,0,0.83
17264818,Rental unit in Rotterdam · ★4.84 · 1 bedroom · 2 beds · 1 bath,"Location: The apartment is situated next to a large canal, in the Historic “Delfshaven“ suburb, conveniently located near the Rotterdam CBD. Walk to the end of the street to find lovely restaurants and bustling bars. Shops and a supermarket are located right across the street!",116391361,within an hour,100%,100%,t,1.0,1,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],156.0,2,20,1125,96,11,2,2017-04-05,2023-12-05,4.84,4.86,4.82,4.95,4.97,4.84,4.81,f,1,1,0,1.17
17310034,Guesthouse in Rotterdam · ★4.94 · 1 bedroom · 1 bed · 1 bath,"The house is situated in hillegersberg, a nice, quiet and historic part of the city with a lot of greenery and lakes. The shopping street is next door, as well as a number of restaurants, bars and terraces. Tram 4 stops within 2 minutes walking distance which takes you to Rotterdam city centre/ central station in 15 minutes. The lakes are around the corner, where boat rental is offered.",116814166,,,90%,t,1.0,1,Entire guesthouse,Entire home/apt,2,,1 bath,,1.0,[],149.0,3,1125,1125,82,12,0,2017-03-05,2023-10-05,4.94,4.98,4.91,4.98,4.96,4.88,4.79,f,1,1,0,0.99
17352498,Condo in Rotterdam · ★4.56 · 2 bedrooms · 2 beds · 1 bath,"The apartment is situated in the area called Provenierswijk and is a haven of tranquillity, in spite of being within close proximity of the city centre. The public park 'Vroesenpark' is located near the complex and is a very vibrant place in the summer with locals getting together. <br /><br />The area hides different excuisite restaurants like Dunya Locanta, Le Nord and for the pizza lovers there's La Pizza, the best pizza place in Rotterdam. For a coffee there are different great places in and around Central Station. Two supermarkets are on 4 minutes walking distance from the apartment.<br /><br />Just on the other side of the Central Station is where the vibrant day- and nightlife starts. Different areas for a great night out like Central District, Stadhuisplein, Witte de Withstraat and Oude Binnenweg are within walking distance or easily reachable by public transport.",117247688,within an hour,100%,75%,f,1.0,1,Entire condo,Entire home/apt,3,,1 bath,,2.0,[],124.0,3,60,1125,16,4,2,2017-03-31,2023-12-08,4.56,4.88,4.56,5.0,4.94,4.94,4.69,f,1,1,0,0.2
17361998,Home in Rotterdam · ★4.84 · 1 bedroom · 1 bed · 1.5 baths,,24606148,within an hour,100%,100%,t,1.0,1,Private room in home,Private room,2,,1.5 baths,,1.0,[],78.0,1,1125,1125,271,69,4,2017-04-09,2023-12-19,4.84,4.9,4.9,4.94,4.95,4.93,4.81,f,1,0,0,3.32
17622969,Guest suite in Rotterdam · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,Relaxing area on a island 5 min from the  center,76424652,within a few hours,100%,95%,f,2.0,3,Entire guest suite,Entire home/apt,2,,1.5 baths,,1.0,[],79.0,1,1125,1125,653,95,5,2017-04-08,2023-12-22,4.71,4.79,4.8,4.84,4.86,4.7,4.66,f,1,1,0,7.99
17634182,Houseboat in Rotterdam · ★4.81 · 2 bedrooms · 3 beds · 1 bath,"The Maritime District is the most beautiful area of Rotterdam; it has it all: musea (Maritiem Museum, Mariniersmuseum & Comics Museum), loads of ho(s)tels, many highraise buildings and great restaurants. The area is very safe, peaceful and quiet at streetlevel.",436284753,,,,f,12.0,13,Houseboat,Entire home/apt,5,,1 bath,,3.0,[],224.0,1,60,60,225,26,0,2017-06-22,2023-10-12,4.81,4.79,4.68,4.79,4.85,4.91,4.52,f,10,8,0,2.84
17835388,Home in Rotterdam · ★4.95 · 3 bedrooms · 4 beds · 1 bath,"Nice, quiet and green, with a large and enclosed playground just around the corner. And around the other corner there's a lake next to a large park with a classic old Dutch windmill. You'll also find shops and pubs less than 500 metres away. And there's a really nice and cosy restaurant just across the street.",121985828,within an hour,100%,80%,f,1.0,1,Entire home,Entire home/apt,5,,1 bath,,4.0,[],225.0,3,30,30,21,2,0,2017-07-26,2023-08-20,4.95,5.0,4.86,5.0,5.0,4.71,4.9,f,1,1,0,0.27
